Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
LOGITRANS LOGÍSTICA ENGENHARIA E TRANSPORTES LTDA.,N/A,Brazil,2022-04-19,2028-03-24,Cross Debarment: IDB
MR. BAMIDELE OBINIYI,"SUITE 295, 1ST FLOOR, SOAR PLAZA, 1ST AVENUE, GWARIMPA, FCT-ABUJA",Nigeria,2022-05-17,2999-12-31,Cross Debarment: AfDB
BRANCH OF ROYAL ROAD LIMITED,"PHUM 6, TUAI SVAY PREY MUOY, CHAMKAR MON, PHNOM PENH 12308",Cambodia,2022-06-13,2999-12-31,Cross Debarment: ADB
M.N. MALLICK & COMPANY(Registration Number; C-147257),"87 PURANA PALTAN LINE, DHAKA 1000",Bangladesh,2022-06-13,2025-12-21,Cross Debarment: ADB
MR. MAHABUB ALAM MALLICK,"87 PURANA PALTAN LINE, DHAKA 1000",Bangladesh,2022-06-13,2025-12-21,Cross Debarment: ADB
MR. BEN DAVID ETCHEVERRY ERGUETA,"CALLE 29 DE SEPTIEMBRE NRO. 340, ZONA TERMINAL DE BUSES, CHUQUISACA",Bolivia,2022-05-20,2028-04-18,Cross Debarment: IDB
CONSTRUTORA COESA S.A.,"LUIS VIANA FILHO AVENUE, 6462, WALL STREET BUILDING,41730-101, SALVADOR",Brazil,2022-05-02,2025-03-17,Cross Debarment: IDB
CONSTRUTORA COESA S.A. - SUCURSAL COLOMBIA,"CALLE 67, N.07-35, OFICINA 404, BOGOTÁ",Colombia,2022-05-02,2025-03-17,Cross Debarment: IDB
MR. ANTONIO CARLOS MARCHEZETTI,N/A,Brazil,2022-04-19,2028-03-24,Cross Debarment: IDB
"ASIAN TECHNICAL ASSISTANCE CO., LTD.","PHUM SANSAM KOSAL 1, BOENG TUMPUN, MEAN CHEAY, PHNOM PENH, 12351",Cambodia,2022-06-13,2999-12-31,Cross Debarment: ADB
CONSTRUTORA COESA S.A. - SUCURSAL URUGUAY,"AVENIDA LUIS ALBERTO DE HERRERA, N. 1248, TORRE AVENIDAS, OFICINA 321, MONTEVIDEO",Uruguay,2022-05-02,2025-03-17,Cross Debarment: IDB
COESA ENGENHARIA LTDA - SUCURSAL PANAMÁ - COESA,"CALLE PUNTA DARIÉN, ESQUINA CON PUNTA CORONADO, EDIFICIO TORRE LAS AMÉRICAS, OFICINA 506, TORRE B, URBANIZACIÓN PUNTA PACÍFICA, PANAMA CITY",Panama,2022-05-02,2025-03-17,Cross Debarment: IDB
CONSTRUTORA COESA S.A. - SUCURSAL HONDURAS,"EDIFICIO METROPOLIS, AT BOULEVARD SUYAPA, N. 21602, 21603, 21604 E 21605, TEGUCIGALPA CITY",Honduras,2022-05-02,2025-03-17,Cross Debarment: IDB
MR. KIMCHHEAN YIM,"31BT, PHUM SANSAM KOSAL 1, BOENG TUMPUN, MEAN CHEAY, PHNOM PENH, 12351",Cambodia,2022-06-13,2999-12-31,Cross Debarment: ADB
"PROJECT CONSULT INSTITUTE PCI CO., LTD.","903, 31BT, PHUM SANSAM KOSAL 1, BOENG TUMPUN, MEAN CHEY, PHNOM PENH, 12351",Cambodia,2022-06-13,2999-12-31,Cross Debarment: ADB
PYRAMID E&C CO. LTD.,"903, 31 BT, PHUM SANSAM KOSAL 1, BOENG TUMPUN, MEAN CHEY, PHNOM PENH, 12351",Cambodia,2022-06-13,2999-12-31,Cross Debarment: ADB
BRANCH OF CANADA CONSTRUCTION COOPERATION LIMITED,"PHUM 6, TUAI SVAY PREY MUOY, CHAMKAR MON, PHNOM PENH",Cambodia,2022-06-13,2999-12-31,Cross Debarment: ADB
BRANCH OF CANADA CONSTRUCTION COOPERATION LIMITED,"PHUM SANSAM KASAL 1, BOENG TUMPUN, MEAN CHEY, PHNOM PENH 12351",Cambodia,2022-06-13,2999-12-31,Cross Debarment: ADB
CONSTRUTORA OAS GUINEE S.A.,"CITÉ CHEMIN DE FER, LMMEUBLE KINDIA, 3 ÉTAGE, BP: 5105, CONAKRY",Guinea,2022-05-02,2025-03-17,Cross Debarment: IDB
OAS NACALA LIMITADA,"RUA ARNALDO SEGUNDO SIN. BLOCO 1, NACALA-PORTO",Mozambique,2022-05-02,2025-03-17,Cross Debarment: IDB
CONSTRUTORA OAS GHANA LIMITED,"NOI FETREKE ST. N. 9, AIRPORT RESIDENTIAL AREA, ACCRA",Ghana,2022-05-02,2025-03-17,Cross Debarment: IDB
MR. MOHAN KRISHNAN PODUVAL,"250 TAMAN PULASAN, FASA 6, JALAN ALOR MENGKUDU,, ALOR SETAR, KEDAH, MALAYSIA",Malaysia,2022-04-20,2999-12-31,Cross Debarment: ADB
CONSTRUTORA COESA S.A. - SUCURSAL CHILE,"MONJITAS, N. 527, PISO 13, SANTIAGO",Chile,2022-05-02,2025-03-17,Cross Debarment: IDB
CONSTRUTORA COESA S.A. - SUCURSAL HAITI,"3 RUE JEAN GILLES, ROUTE DE L'AEROPORT, PORT-AU-PRINCE",Haiti,2022-05-02,2025-03-17,Cross Debarment: IDB
BIENES RAÍCES Y CONSTRUCCIONES NOSTROT S.A.,N/A,Panama,2022-04-19,2031-03-24,Cross Debarment: IDB
CONSTRUTORA COESA S.A. - SUCURSAL PANAMÁ,"CALLE OBARRIO, P.H. PLAZA 2000, P-16, URBANIZACIÓN BELLA VISTA, PANAMA CITY",Panama,2022-05-02,2025-03-17,Cross Debarment: IDB
OAS ENERGY GMBH,"ALBERT-GASSE N. 35, 1080, VIENNA",Austria,2022-05-02,2025-03-17,Cross Debarment: IDB
OAS INTERNATIONAL ENGINEERING GMBH,"DONAUSTADTSTRAFSE 1 /5, 1220, VIENNA",Austria,2022-05-02,2025-03-17,Cross Debarment: IDB
ZHIKE ZHANG,"C/O HENAN QIANKUN ROAD AND BRIDGE ENGINEERING CO. LTD. NO. 51 GOGNYE ROAD, FENGQIU COUNTY, XIANXIANG CITY, HENAN PROVINCE 453300",China,2019-09-25,2999-12-31,Cross Debarment: ADB
M/S. A.S. CONSTRUCTION,"E-799 KADIRGONJ, GHORAMARA, BOALIA, RAJSHAHI-6000",Bangladesh,2023-05-09,2030-03-14,Cross Debarment: ADB
DINAJU S.A.,N/A,Costa Rica,2023-05-01,2026-03-30,Cross Debarment: IDB
TODINI COSTRUZIONI GENERALI S.P.A.,"VIA AURELIA 475/477 - 00165, ROME",Italy,2023-05-31,2029-11-24,Cross Debarment: ADB
MR. MD. ABDUL AWAL,"HOUSE NO. C-151, SEROIL COLONY, GHORAMA, BOALIA, RAJSHAHI-6000",Bangladesh,2023-05-09,2030-03-14,Cross Debarment: ADB
VÍCTOR JULIO ARIAS HERRERA,"AGUAS ZARCAS, SAN CARLOS, 500 METROS AL NORTE DEL BANCO DE COSTA RICA, PROVINCIA DE ALAJUELA",Costa Rica,2023-05-01,2026-03-30,Cross Debarment: IDB
"SHAANXI HERUI TECHNOLOGY DEVELOPMENT CO., LTD(f.k.a [Shaanxi Neoplan Trading Co., Ltd.])","ROOM 20101, UNIT 2, BUILDING 2, NO. 59 OF PARK NORTH ROAD XINCHENG DISTRICT, XI'AN CITY, SHAANXI PROVINCE",China,2023-04-14,2026-11-22,Cross Debarment: ADB
GOLDSUN INVESTMENTS COMPANY LIMITED,"209/5017/16 LUSAKA ROAD, OFF ENTERPRISE, P.O. BOX 18793-00500, NAIROBI",Kenya,2023-05-25,2025-01-30,Cross Debarment: AfDB
SOCIÉTÉ BEL MABROUK DES TRAVAUX ET INVESTISSEMENT S.A.R.L,"PLOT B.P. 46 KÉBILI BAYEZ ROUTE DE GABES, KM 2 4280, KÉBILI",Tunisia,2023-05-30,2999-12-31,Cross Debarment: AfDB
MR. BEKHRUZ GULRUZOV,"FEDIN STR. 3, QUARTER-29, DUSHANBE",Tajikistan,2023-05-31,2027-11-24,Cross Debarment: ADB
M/S. A.S. CONSTRUCTION,"HOUSE NO. C-151, SEROIL COLONY, GHORAMA, BOALIA, RAJSHAHI-6000",Bangladesh,2023-05-09,2030-03-14,Cross Debarment: ADB
ZIMO LTD.,"25B AND 25 ADAM MITSKEVICHI STR,VAKE-SABURTALO DISTRICT, TBILISI 0194",Georgia,2023-02-27,2027-11-07,Cross Debarment: ADB
ZIMO LTD.,"19A ALEKSANDRE KAZBEGI AVENUE, TBILISI 0160",Georgia,2023-02-27,2027-11-07,Cross Debarment: ADB
ROCKEY AFRICA LIMITED,"P.O. BOX 2680-00100, NAIROBI",Kenya,2023-03-01,2999-12-31,Cross Debarment: AfDB
GESAWORLD DO BRASIL LIMITADA,N/A,Brazil,2022-12-20,2032-11-13,Cross Debarment: IDB
GITTO COSTRUZIONI GENERALI NIGERIA LIMITED,"PLOT 737 MABUSHI DISTRICT, ABUJA, FCT",Nigeria,2022-12-28,2026-09-08,Cross Debarment: AfDB
GENÇ İNŞAAT LIMITED ŞIRKETI,"ILKBAHAR, 606. SOKAK NO: 22, YILDIZ/ANKARA",Turkiye,2023-03-08,2026-12-05,Cross Debarment: EBRD
MARCELO DANIEL ROMERO,"NIEVA DE CASTILLA 214, ANDALGALÁ,4740, PROVINCIA DE CATAMARCA C.P.",Argentina,2022-12-20,2029-11-17,Cross Debarment: IDB
GESAWORLD USA LIMITED LIABILITY,"MIAMI, FL, 33131",United States,2022-12-20,2032-11-13,Cross Debarment: IDB
SARGITTARIUS HENAN WATER CONSERVANCY ENGINEERING LIMITED,"NO. 22B, ADEBAYO DOHERTY ROAD, LEKKI PHASE 1, LAGOS",Nigeria,2023-03-01,2999-12-31,Cross Debarment: AFDB
GESAWORLD GROUP S.A.,N/A,Spain,2022-12-20,2032-11-13,Cross Debarment: IDB
GESAWORLD CHILE LIMITADA,N/A,Chile,2022-12-20,2032-11-13,Cross Debarment: IDB
ROSER VICENTE RUIZ,N/A,Spain,2022-12-20,2032-11-13,Cross Debarment: IDB
ISABEL PATRICIA CARRIZO,N/A,Argentina,2022-12-20,2029-11-17,Cross Debarment: IDB
INVERSIONES ATLANTIC S.A. DE C.V.,N/A,El Salvador,2022-12-20,2037-10-27,Cross Debarment: IDB
HÉCTOR ALFONSO VELASCO RIVAS,N/A,El Salvador,2022-12-20,2037-10-27,Cross Debarment: IDB
JOSÉ ANTONIO LÁZARO ROMEU,"COMTE D URQETL, 204, 5°B, 08036, BARCELONA",Spain,2022-12-20,2032-11-13,Cross Debarment: IDB
GESAWORLD PANAMÁ S.A.,N/A,Panama,2022-12-20,2032-11-13,Cross Debarment: IDB
GESAWORLD MÉXICO S.A. DE C.V.,N/A,Mexico,2022-12-20,2032-11-13,Cross Debarment: IDB
SONY COMMERCIAL AGENCIES,"P.O. BOX 16416 – 00100, NAIROBI",Kenya,2023-03-01,2999-12-31,Cross Debarment: AfDB
BETA TRADING COMPANY,"P.O. BOX 16416 – 00100, NAIROBI",Kenya,2023-03-01,2999-12-31,Cross Debarment: AfDB
ALBERTO ESTEVE APARISI,"GRAN VÍA DE FERRAN EL CATÓLIC, 81, 46008, VALENCIA",Spain,2023-03-03,2026-01-11,Cross Debarment: IDB
SARGITTARIUS NIGERIA LIMITED,"NO. 22B ADEBAYO DOHERTY ROAD, LEKKI PHASE 1, LAGOS",Nigeria,2023-03-01,2999-12-31,Cross Debarment: AfDB
EVA-TOP AGENCIES,"P.O. BOX 2680 – 00100, NAIROBI",Kenya,2023-03-01,2999-12-31,Cross Debarment: AfDB
MADUJEY GLOBAL SERVICES,"P.O. BOX 117890-00100, NAIROBI",Kenya,2023-03-01,2999-12-31,Cross Debarment: AfDB
OCEANIC CONSTRUCTION AND ENGINEERING NIGERIA LIMITED,"1133, AMINU KANO CRESCENT WUSE 11, ABUJA",Nigeria,2023-03-01,2999-12-31,Cross Debarment: AFDB
U&R CONSTRUCCIONES S.A. DE C.V.,N/A,El Salvador,2023-01-13,2029-12-12,Cross Debarment: IDB
FERNANDO BLADIMIR PEÑA PINEDA,"RESIDENCIA VILLA DEL SOL ILL, SENDA 64,NÚMERO 77, LLOPANGO",El Salvador,2022-12-20,2027-10-27,Cross Debarment: IDB
LEONCIO ANTONIO URBINA CLAROS,"CALLE 97 ELIZABETH, RESIDENCIAL PORTALES E BARCELONA NÚMERO 30, POLÍGONO 98 H., SAN MIGUEL",El Salvador,2023-01-13,2029-12-12,Cross Debarment: IDB
CONSTRUCCIONES DE OBRAS CIVILES S.A. DE C.V.,N/A,El Salvador,2023-01-13,2028-12-12,Cross Debarment: IDB
JUAN EDGARDO ANDRADE PEÑATE,"BARRIO LA VEGA, CALLE AL CEMENTERIO, SAN LORENZO AHUACHAPÁN",El Salvador,2023-01-13,2028-12-12,Cross Debarment: IDB
TOO TALAP STROY SERVICE,"42A ZHIBEK ZHOLY STR, 160019, SHYMKENT",Kazakhstan,2023-02-14,2025-11-13,Cross Debarment: EBRD
NELSON ALEXANDER NÚÑEZ GONZÁLEZ,N/A,El Salvador,2022-12-20,2037-10-27,Cross Debarment: IDB
PROYECTOS DIVERSOS INTEGRADOS S.A. DE C.V.,"KILÓMETRO 14 CARRETERA PANAMERICANA,FRENTE A LA COLONIA TIERRA VIRGEN, SAN MARTÍN",El Salvador,2022-12-20,2037-10-27,Cross Debarment: IDB
PROYECTOS Y MECANIZADOS DIVERSOS S.A. DE C.V.,N/A,El Salvador,2022-12-20,2027-10-27,Cross Debarment: IDB
AEROSPACE AVIATION,"P.O. BOX 1007-00100, THIKA",Kenya,2023-03-01,2999-12-31,Cross Debarment: AfDB
FARAD DOS SANTOS MERCÊS,"RUA TEIXEIRA DE FREITAS 272, SALGADO FILHO, ARACAJU - SE, 49020-530",Brazil,2023-12-28,2029-10-30,Cross Debarment: IDB
MR. JORAM OPALA OTIENO(a.k.a Mr. Joram OPALA),"CBD, SUNA BUILDING, SIRARE ROAD EAST/WESWETA 1/32, P.O. BOX 32, STAREHE DISTRICT, SUNA, NAIROBI",Kenya,2022-03-01,2999-12-31,Cross Debarment: AfDB
MS. ZENG ZILING,"9-3-4, E- SHIDAI, XIN MAO YUAN, SI GONG LI NAN AN DISTRICT, CHONG QING CITY",China,2019-12-24,2999-12-31,Cross Debarment: ADB
F.I. COMÉRCIO EM GERAL EIRELI,"RUA HERILDO BRITO 287, GALPÃO B, BAIRRO SANTOS DUMONT, ARACAJU - SE, 49087-250",Brazil,2023-12-28,2029-10-30,Cross Debarment: IDB
EGIS EAU S.A.S.,"15 AVENUE DU CENTRE, CS 20538 GUYANCOURT, 78286 SAINT-QUENTIN-EN-YVELINES CEDEX",France,2024-02-02,2027-01-02,Cross Debarment: IDB
EGIS INTERNATIONAL S.A.S,"15 AVENUE DU CENTRE, CS 20538 GUYANCOURT, 78286 SAINT-QUENTIN-EN-YVELINES CEDEX",France,2024-02-02,2027-01-02,Cross Debarment: IDB
FUTURA DISTRIBUIDORA E COMÉRCIO EM GERAL EIRELI,"PRAÇA VALDEMAR FONTES CARDOSO 33 BAIRRO SUIÇA, ARACAJU - SE, 49050-170",Brazil,2023-12-28,2028-10-30,Cross Debarment: IDB
FUTURA CLIMATIZAÇÃO DISTRIBUIDORA COMÉRCIO E SERVIÇOS LTDA.,"AV. AUGUSTO FRANCO 3097, PAVIMENTO TÉRREO PONTO NOVO, ARACAJU - SE, 49047-040",Brazil,2023-12-28,2029-10-31,Cross Debarment: IDB
LICITA DISTRIBUIDORA COMÉRCIO E SERVIÇOS EIRELI,"RUA VEREADOR JOÃO CLARO 219 DEZOITO DO FORTE, ARACAJU - SE, 49072-750",Brazil,2023-12-28,2029-10-30,Cross Debarment: IDB
FREDERICO DE OLIVEIRA ROSA,"RUA DO HORTO (COND. VILA VERDE), BLOCO EUCALIPTO, APT. 607, NO. 240, BAIRRO JABOTIANA, ARACAJU - SE, 49095-750",Brazil,2023-12-28,2029-10-30,Cross Debarment: IDB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED GAOQING BRANCH河北建设集团股份有限公司高青分公司,"ROOM 2268, INNOVATION AND ENTREPRENEURSHIP INCUBATION CENTER, NO. 2, TIANXING ROAD, HUAGOU TOWN, GAOQING COUNTY, ZIBO CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHANDONG BRANCH河北建设集团股份有限公司山东分公司,"ROOM 301, FLOOR 3, BUILDING 11, HEXIN PARK, QINGDAO WANGGU, NO 8 ,TONGSHUN ROAD, HIGH-TECH ZONE, QINGDAO, SHANDONG, CHINA",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHANGGAO BRANCH河北建设集团股份有限公司上高分公司,"NO 16-1, WAIHUAN ROAD, AOSHAN TOWN, SHANGGAO COUNTY, YICHUN CITY, JIANGXI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED ZHANGSHU BRANCH河北建设集团股份有限公司樟树分公司,"NO 78, GONGHE WEST ROAD,, ZHANGSHU CITY, YICHUN CITY, JIANGXI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED LAISHUI BRANCH河北建设集团股份有限公司涞水分公司,"NO115, CHONGZHI STREET, LAISHUI COUNTY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED TIANJIN INTELLIGENT BUILDING,"ROOM 101, BUILDING 7, TAIKANG ZHIDA TECHNOLOGY INDUSTRIAL PARK, INTERSECTION OF SOUTH POYANG ROAD AND RUIZE ROAD, SHUANGGANG TOWN, JINNAN DISTRICT, TIANJIN",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED JILIN BRANCH河北建设集团股份有限公司吉林分公司,"GATE 201, BUILDING A13, HUAQIAO CHENG COMMUNITY, KUANCHENG DISTRICT, CHANGCHUN",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED XIANGHE BRANCH河北建设集团股份有限公司香河分公司,"NO 2-103,  SHUXIANG NEW DISTRICT, XINKAI STREET, XIANGHE COUNTY, LANGFANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED FUPING BRANCH河北建设集团股份有限公司富平分公司,"OPEN TRAINING BASE OFFICE BUILDING, FUPING ECONOMIC DEVELOPMENT ZONE, FUPING COUNTY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DENGFENG BRANCH河北建设集团股份有限公司登封分公司,"NO 58, XISHILI VILLAGE, SHAOLIN STREET OFFICE, DENGFENG CITY, ZHENGZHOU CITY, HENAN PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED SHIJIAZHUANG HIGH TECH DISTRICT BRA河北建设集团股份有限公司石家庄高新区分公司,"ROOM 1208, BLOCK A, NO.1 CHANGJIANG ROAD, TIANSHAN SCIENCE PARK,  NO 530, YUHUA EAST ROAD, HIGH-TECH ZONE, SHIJIAZHUANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED HUNAN BRANCH河北建设集团股份有限公司湖南分公司,"14 / F, BUILDING 1, XIANGYU CENTRAL, WUYI AVENUE, FURONG DISTRICT, CHANGSHA",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED YOUWEI BRANCH河北建设集团股份有限公司右卫分公司,"ROOM 102, UNIT 2, BUILDING 1,HEXIEJIAYUAN,  WANQUAN DISTRICT, ZHANGJIAKOU CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DINGXING CONCRETE BRANCH河北建设集团股份有限公司定兴混凝土分公司,"SOUTH RONGGU ROAD, SOUTH TAIPINGZHUANG VILLAGE, DINGXING COUNTY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED WUJI COUNTY BRANCH河北建设集团股份有限公司唐县分公司,"4 / F, PROPERTY BUILDING, LUYIN SHUI 'AN COMMUNITY, NO. 4-102, WEST HOPE ROAD, WUJI COUNTY, SHIJIAZHUANG CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED KUCHE BRANCH河北建设集团股份有限公司库车分公司,"NO. 90, WUQIE 3 GROUP, DUNKUOTAN TOWN, KUCHE CITY, AKSU REGION, XINJIANG",China,2024-08-22,2027-07-22,Cross Debarment: ADB
SINO-KENYA ENGINEERING GROUP COMNPANY LIMITED,"NEXTGEN APARTMENTS, BLOCK B, HOUSE NO. 41, MOMBASA ROAD, NAIROBI",Kenya,2021-10-18,2999-12-31,Cross Debarment: AfDB
EGIS WATER AND MARITIME(BUT ONLY FOR ITS BUSINESS OPERATIONS IN THE WATER AND SANITATION SECTOR),"15 AVENUE DU CENTRE, 78280 GUYANCOURT",France,2024-09-24,2027-01-02,Cross Debarment: IDB
"HEBEI CONSTRUCTION GROUP HARBIN AIRPORT CONSTRUCTION CO., LTD.河北建设集团哈尔滨机场建设有限公司","NO 5, BALI STREET, TAIPINGZHUANG TOWN, DAOLI DISTRICT, HARBIN CITY, HEILONGJIANG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED TIANJIN BRANCH河北建设集团股份有限公司天津分公司,"NO. 464, ROOM 1808, BUILDING A, CREATIVE CENTER, BINHAI PRIVATE ECONOMIC GROWTH DEMONSTRATION BASE, GEGU TOWN, JINNAN DISTRICT, TIANJIN",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED GAOBEIDIAN BRANCH河北建设集团股份有限公司高碑店分公司,"ROOM 102, BUILDING 2, CENTURY JIAYUAN SOUTH COMMERCIAL BUILDING, WEST OF XINGFU SOUTH ROAD, GAOBEIDIAN CITY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DINGZHOU BRANCH河北建设集团股份有限公司定州分公司,"ROOM 2503, 25 / F, XIANGJIANG BUILDING, ZHONGXING WEST ROAD,, DINGZHOU CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED DANGSHAN BRANCH河北建设集团股份有限公司砀山分公司,"EAST OF YAOCHI ROAD, SOUTH OF 310 NATIONAL ROAD, HUIMIN COMMUNITY, ECONOMIC DEVELOPMENT ZONE, DANGSHAN COUNTY, SUZHOU CITY, ANHUI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED ZHENJIANG BRANCH河北建设集团股份有限公司镇江分公司,"SME ENTREPRENEURSHIP PARK, NO 300, GANGNAN ROAD, NEW DISTRICT, ZHENJIANG CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP HONG KONG CO., LTD.河北建设集团香港有限公司","DAH SING FINACIAL CENTRE 248 QUEEEN'S ROAD EAST, WANCHAI, HONGKONG",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP DECORATION ENGINEERING CO., LTD.河北建设集团装饰工程有限公司","NO. 388, WEST DEVELOPMENT ROAD, QINGYUAN DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI ZHONGRU SOFTWARE TECHNOLOGY CO., LTD.河北中儒软件科技股份有限公司","FLOOR 4, NO 329, WUSI WEST ROAD, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED STEEL STRUCTURE BRANCH河北建设集团股份有限公司钢结构工程分公司,"NO. 139, WUSI WEST ROAD, JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED NO. 7 BRANCH河北建设集团股份有限公司第七分公司,"NO 125 , LUGANG ROAD ,JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED ETHIOPIA BRANCH,"BOLE, 12 ADDIS ABABA",Ethiopia,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED XIHUA BRANCH河北建设集团股份有限公司西华分公司,"500 METERS EAST OF LI DAZHUANG TOWN GOVERNMENT, XIHUA COUNTY, ZHOUKOU CITY, HENAN PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED XINJIANG BRANCH河北建设集团股份有限公司新疆分公司,"ROOM 1801, SECTION A, SHENGDA PLAZA, NO 499, YUNTAISHAN STREET, ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE, URUMQI, XINJIANG",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED BINZHOU BRANCH河北建设集团股份有限公司滨州分公司,"ROOM 172, BUILDING 16, XUEYUAN GARDEN COMMUNITY, SOUTH OF HUANGHE 8TH ROAD AND WEST OF BOHAI 11TH ROAD, BINZHOU CITY, SHANDONG PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED HENGSHUI BRANCH河北建设集团股份有限公司衡水分公司,"12 / F, LESHENG CENTER, NO 66, PENGCHENG ROAD, BINHU NEW DISTRICT, HENGSHUI CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED NO 1 BRANCH河北建设集团股份有限公司第一分公司,"NO 125 , LUGANG ROAD ,JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED XIONGXIAN BRANCH河北建设集团股份有限公司雄县分公司,"NO. 30, QINGHE PARK WEST STREET, NORTH CAIYUAN VILLAGE, XIONGZHOU TOWN, XIONGXIAN COUNTY, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI CONSTRUCTION GROUP TIANCHEN CONSTRUCTION ENGINEERING CO., LTD.河北建设集团天辰建筑工程有限公司","BUILDING 6, NO 139 WUSI WEST ROAD, JINGXIU DISTRICT, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
"HEBEI SHENNING CONSTRUCTION ENGINEERING CO., LTD.河北申凝建筑工程有限公司","ROOM 1-801, JIUZHOU BUSINESS CENTER, NO 1616, QIYI MIDDLE ROAD, HANCUN NORTH ROAD SUBDISTRICT OFFICE, JINGXIU DISTRICT, BAODING CITY",China,2024-08-22,2027-07-22,Cross Debarment: ADB
HEBEI CONSTRUCTION GROUP CORPORATION LIMITED INSTALLATION BRANCH河北建设集团股份有限公司安装分公司,"NO 125 , LUGANG ROAD ,JINGXIU DISTRICT, BAODING CITY, HEBEI PROVINCE",China,2024-08-22,2027-07-22,Cross Debarment: ADB
